head1,head2,head3
Agriculture,1010231309,2012
Construction Non-Building production (including mining),2106769102,2012
Construction Non-Building office support (including mining),235581718.2,2012
Utilities production,7391494249,2012
Utilities office support,536661439.1,2012
Construction of Buildings production,9135506366,2012
Construction of Buildings office support,897555039.4,2012
Manufacturing production,36928734349,2012
Manufacturing office support,4470851633,2012
Wholesale and Warehousing,10074273519,2012
Transportation Activity,2329946174,2012
