Origin,Destination,dist_da_t_op,time_da_t_op,toll_op,hbw_lo_pk,hbw_med_pk,hbw_hi_pk,hbc_hi_op,hbs_hi_op,hbo_hi_op,nhb_hi_op
1,1,1.5,4.1,0,0.315,0.025,-0.116,-0.008,1.061,0.215,0.076
1,2,2.8,6.8,0,-0.151,-0.23,-0.276,-0.069,0.831,0.132,0.006
1,3,6.1,12.7,0,-0.663,-0.54,-0.503,-0.239,0.411,-0.046,-0.222
1,4,8.2,16.1,0,-0.84,-0.67,-0.607,-0.335,0.303,-0.134,-0.332
1,5,5.7,10.7,0,-0.471,-0.438,-0.434,-0.2,0.487,-0.001,-0.187
1,6,7.4,12.1,0,-0.824,-0.586,-0.504,-0.247,0.386,-0.027,-0.197
1,7,8.8,13.6,0,-0.838,-0.637,-0.56,-0.293,0.348,-0.088,-0.255
1,8,9.5,17.7,0,-1.102,-0.802,-0.691,-0.368,0.272,-0.182,-0.422
1,9,10.6,18,0,-1.175,-0.836,-0.707,-0.391,0.239,-0.2,-0.427
1,10,11.8,17.6,0,-1.529,-0.99,-0.793,-0.407,0.219,-0.235,-0.452
1,11,3.4,6.8,0,-0.11,-0.161,-0.259,-0.08,0.786,0.117,-0.01
1,12,6.1,10.2,0,-0.762,-0.613,-0.562,-0.208,0.563,-0.015,-0.16
1,13,7.5,13.2,0,-0.899,-0.685,-0.607,-0.259,0.395,-0.027,-0.11
1,14,9,13.2,0,-1.229,-0.863,-0.739,-0.313,0.321,-0.126,-0.305
1,15,11.9,18.2,0,-1.586,-1.054,-0.872,-0.438,0.191,-0.244,-0.535
1,16,13.4,18.8,0,-1.713,-1.17,-0.982,-0.454,0.163,-0.26,-0.515
1,17,14.9,20.5,0,-1.795,-1.23,-0.99,-0.581,0.072,-0.379,-0.772
1,18,17.3,21.9,0,-1.866,-1.298,-1.056,-0.58,0.046,-0.401,-0.738
1,19,14.2,18.8,0,-1.679,-1.108,-0.892,-0.479,0.145,-0.299,-0.583
1,20,15.9,21.9,0,-2.135,-1.375,-1.081,-0.826,0.057,-0.378,-0.722
1,21,20,24.7,0,-2.493,-1.559,-1.225,-0.675,-0.047,-0.491,-0.869
1,22,22.3,27.5,0,-2.716,-1.695,-1.323,-0.763,-0.133,-0.58,-0.982
1,23,19.6,24,0,-2.203,-1.519,-1.23,-0.67,-0.042,-0.49,-0.859
1,24,23.8,28.9,0,-2.922,-2.054,-1.667,-0.83,-0.203,-0.688,-1.107
1,25,20.9,25.2,0,-2.282,-1.67,-1.362,-0.72,-0.091,-0.566,-0.945
1,26,22,27.3,0,-2.479,-1.745,-1.412,-0.761,-0.132,-0.58,-0.98
1,27,21.6,26.9,0,-2.598,-1.753,-1.408,-0.753,-0.124,-0.57,-0.969
1,28,24.1,31.8,0,-2.891,-1.943,-1.552,-0.856,-0.228,-0.675,-1.121
1,29,12.5,16.5,0,-1.565,-1.11,-0.975,-0.415,0.229,-0.242,-0.512
1,30,14.1,19.9,0,-1.716,-1.203,-1.039,-0.483,0.142,-0.293,-0.585
1,31,16,23.8,0,-2.21,-1.454,-1.197,-0.585,0.038,-0.392,-0.734
1,32,14.9,18.8,0,-2.077,-1.375,-1.137,-0.475,0.162,-0.291,-0.578
1,33,16.9,20.8,0,-2.409,-1.614,-1.344,-0.565,0.053,-0.384,-0.681
1,34,19.2,24,0,-2.058,-1.577,-1.369,-0.658,-0.038,-0.472,-0.837
1,35,32.8,40.5,0,-4.781,-3.083,-2.496,-1.213,-0.584,-1.036,-1.529
1,36,31.8,38.7,0,-4.581,-2.971,-2.406,-1.154,-0.523,-0.974,-1.471
1,37,30.3,37.8,0,-4.352,-2.733,-2.172,-1.052,-0.424,-0.857,-1.371
1,38,34.7,43.1,0,-5.022,-3.219,-2.591,-1.291,-0.665,-1.106,-1.36195
1,39,25.9,32.4,0,-3.343,-2.227,-1.781,-0.956,-0.322,-0.796,-1.405
1,40,27.3,32.3,0,-4.122,-2.73,-2.236,-0.992,-0.365,-0.813,-1.208
1,41,26.8,32.4,0,-4.038,-2.651,-2.145,-0.954,-0.325,-0.766,-1.209
1,42,28.4,33.4,0,-4.122,-2.722,-2.225,-1.025,-0.399,-0.832,-1.253
1,43,30.7,35.2,0,-4.408,-2.884,-2.346,-1.088,-0.462,-0.899,-1.349
1,44,32.8,37.3,0,-4.505,-2.92,-2.374,-1.18,-0.552,-0.995,-1.459
1,45,32.5,37.3,0,-4.091,-2.656,-2.16,-1.126,-0.497,-0.938,-1.332
1,46,29.6,37.8,0,-3.795,-2.476,-2.017,-1.049,-0.414,-0.85,-1.18
1,47,30.3,38.3,0,-3.653,-2.379,-1.943,-0.929,-0.301,-0.743,-1.21
1,48,23.1,29.1,0,-3.293,-2.132,-1.734,-0.818,-0.199,-0.614,-0.973
1,49,17.7,21.8,0,-2.368,-1.604,-1.344,-0.598,0.03,-0.42,-0.751
